location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Sluis,nl,51.3253599,3.4876046,8,None,None,2020-06-15 13:33:34.242622+00:00
"Williams County, North Dakota",us,48.432044,-103.2923954,26,0,None,2020-06-24 03:30:27.070589+00:00
Gabriel Monteiro,br,-21.5297318,-50.5529689,2,0,None,2020-06-13 00:19:59.271581+00:00
"Monroe County, Michigan",us,41.9738893,-83.5070203,581,21,None,2020-06-24 03:30:27.070589+00:00
"Sargent County, North Dakota",us,46.1089195,-97.61524179999999,4,0,None,2020-06-24 03:30:27.070589+00:00
"Box Elder County, Utah",us,41.5380087,-113.1918021,111,1,None,2020-06-24 03:30:27.070589+00:00
"Camden County, Missouri",us,38.0322944,-92.6983868,50,1,None,2020-06-24 03:30:27.070589+00:00
Chechnya,ru,43.4023301,45.7187468,1291,14,973,2020-06-04 12:50:14.879259+00:00
"Perry County, Illinois",us,38.0612022,-89.3226954,44,0,None,2020-06-24 03:30:27.070589+00:00
"Citrus County, Florida",us,28.8848842,-82.5185837,199,12,None,2020-06-24 03:30:27.070589+00:00
"Cape May County, New Jersey",us,39.105884,-74.8273184,692,62,None,2020-06-24 03:30:27.070589+00:00
"Malheur County, Oregon",us,43.21716,-117.5791892,51,1,None,2020-06-24 03:30:27.070589+00:00
"Garza County, Texas",us,33.1955897,-101.2523792,7,0,None,2020-06-24 03:30:27.070589+00:00
Siegen-Wittgenstein,de,50.93201140000001,8.221204199999999,315,8,None,2020-06-23 00:00:00+00:00
"Mississippi County, Missouri",us,36.8661576,-89.3226954,79,0,None,2020-06-24 03:30:27.070589+00:00
Tapera,br,-28.6230128,-52.8711584,5,0,None,2020-06-13 00:20:35.890820+00:00
"Hamilton County, Nebraska",us,40.919722,-98.04651849999999,62,13,None,2020-06-22 03:30:28.753679+00:00
Carmo do Rio Claro,br,-20.9710063,-46.1270201,10,1,None,2020-06-13 00:19:50.520324+00:00
Douradina,br,-23.385191,-53.29428650000001,4,0,None,2020-06-13 00:19:56.757190+00:00
Quatis,br,-22.3027294,-44.1868554,17,0,None,2020-06-13 00:20:24.418373+00:00
"Leelanau County, Michigan",us,45.0821226,-86.07336339999999,12,0,None,2020-06-24 03:30:27.070589+00:00
Baependi,br,-21.9561322,-44.8907453,2,0,None,2020-06-13 00:19:43.882949+00:00
Entre Folhas,br,-19.6222944,-42.2309526,1,0,None,2020-06-13 00:19:57.235841+00:00
São Vicente,br,-23.9607157,-46.3962022,1507,101,None,2020-06-13 00:20:35.432281+00:00
"Stillwater County, Montana",us,45.7001096,-109.3922403,4,0,None,2020-06-24 03:30:27.070589+00:00
São Miguel do Anta,br,-20.7063652,-42.719159,1,0,None,2020-06-13 00:20:34.599044+00:00
Ramanathapuram,in,9.3639356,78.8394819,106,1,58,2020-06-08 14:49:36.679333+00:00
"Sioux County, North Dakota",us,46.0512004,-101.1175392,19,0,None,2020-06-24 03:30:27.070589+00:00
Rhein-Sieg-Kreis,de,50.7413603,7.3151707,1461,50,None,2020-06-23 00:00:00+00:00
Göttingen,de,51.54128040000001,9.915803499999999,1199,74,None,2020-06-23 00:00:00+00:00
Buritirama,br,-10.7170152,-43.6311936,12,0,None,2020-06-13 00:19:47.267189+00:00
Teolândia,br,-13.5900904,-39.4843477,7,0,None,2020-06-13 00:20:36.322257+00:00
Novosibirsk Oblast,ru,55.4467133,80.1043923,3226,36,1262,2020-06-04 12:50:14.879259+00:00
Vladimir Oblast,ru,56.1553465,40.5926685,2908,27,988,2020-06-04 12:50:14.879259+00:00
